"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"66",0.976,0,0,0.024,0
"67",0.996,0,0,0,0.004
"68",0.068,0,0.024,0.596,0.312
"69",0.932,0,0,0.068,0
"70",0,0,0,0,1
"71",0.026,0.008,0.026,0,0.94
"72",1,0,0,0,0
"73",0,0,0.002,0,0.998
"74",0.892,0,0,0.108,0
"75",0,0,0,0,1
"76",0.26,0,0,0,0.74
"77",0.996,0,0,0,0.004
"78",0.066,0,0.028,0.004,0.902
"79",0.374,0,0,0.626,0
"80",0.952,0,0,0,0.048
"81",0,0.022,0,0,0.978
"82",0,0,0,0,1
"83",0.97,0,0,0.03,0
"84",0,0,0,0,1
"85",0.172,0,0,0.822,0.006
"86",0.044,0,0.01,0,0.946
"87",0.066,0,0,0.202,0.732
"88",0.976,0,0,0.024,0
"89",0,0,0,0,1
"90",0.996,0,0,0,0.004
"91",0.004,0,0.222,0.004,0.77
"92",0,0,0.044,0,0.956
"93",0.996,0,0,0,0.004
"94",0.216,0,0,0.784,0
"95",0.08,0,0.008,0,0.912
"96",0.894,0,0,0.106,0
"97",0.444,0,0,0.556,0
"98",0,0,0,0,1
"99",0.368,0,0,0,0.632
"100",0.528,0,0,0.472,0
"101",0.996,0,0,0,0.004
"102",0.866,0,0,0,0.134
"103",0.908,0,0,0.092,0
"104",0.902,0,0,0.086,0.012
"105",0.878,0,0,0,0.122
"106",0.966,0,0,0.034,0
"107",0.306,0,0,0.694,0
"108",0.02,0,0.02,0.378,0.582
"109",0.942,0,0,0,0.058
"110",0.848,0,0,0.02,0.132
"111",0.308,0,0,0.692,0
"112",0.97,0,0,0.03,0
"113",0.166,0,0,0.834,0
"114",0.306,0,0,0.694,0
"115",0.006,0,0,0,0.994
"116",0.924,0,0,0.064,0.012
"117",0.994,0,0,0,0.006
"118",0.018,0,0.03,0.858,0.094
"119",0.148,0,0,0.848,0.004
"120",0.052,0,0.004,0.004,0.94
"121",0.996,0,0,0,0.004
"122",0.996,0,0,0,0.004
"123",0.996,0,0,0,0.004
"124",0,0,0,0,1
"125",0.006,0,0,0,0.994
"126",0.992,0,0,0,0.008
"127",0.062,0,0.096,0.002,0.84
"128",0.996,0,0,0,0.004
"129",0.996,0,0,0,0.004
"130",0.996,0,0,0,0.004
"131",0.894,0,0,0.106,0
"132",0.996,0,0,0,0.004
"133",0.942,0,0,0,0.058
"134",0.94,0,0,0.06,0
"135",0.902,0,0,0.032,0.066
"136",0.898,0,0,0.102,0
"137",0.644,0,0,0.048,0.308
"138",0,0,0,0,1
"139",0.216,0,0,0.784,0
"140",0.892,0,0,0.108,0
"141",0.998,0,0,0,0.002
"142",0.058,0,0,0,0.942
"143",0.242,0,0,0.758,0
"144",0.25,0,0,0.75,0
"145",0.978,0,0,0.022,0
"146",0.258,0,0,0.742,0
"147",0.71,0,0.006,0.094,0.19
"148",0.152,0,0,0.846,0.002
"149",0,0,0,0,1
"150",0.056,0,0,0,0.944
"151",0.136,0,0.128,0.002,0.734
"152",0,0,0.01,0,0.99
"153",1,0,0,0,0
"154",0.066,0,0,0.59,0.344
"155",0.904,0,0,0,0.096
"156",1,0,0,0,0
"157",0.16,0,0,0.84,0
"158",0,0,0,0,1
"159",0.888,0,0.002,0.06,0.05
"160",0.826,0,0,0.172,0.002
"161",0.94,0,0,0.054,0.006
"162",0.97,0,0,0.03,0
"163",0.002,0,0,0.002,0.996
"164",0.996,0,0,0,0.004
"165",0.256,0,0,0.742,0.002
"166",0.996,0,0,0,0.004
"167",0.97,0,0,0.03,0
"168",0.962,0,0,0.038,0
"169",0.844,0,0,0.132,0.024
"170",1,0,0,0,0
"171",0.004,0,0.302,0.004,0.69
"172",0.964,0,0,0.036,0
"173",0.308,0,0,0.692,0
"174",0.282,0,0,0.718,0
"175",0.912,0,0,0.088,0
"176",0.11,0,0,0,0.89
"177",0.192,0,0,0.792,0.016
"178",0.888,0,0,0,0.112
"179",0.724,0,0.002,0.064,0.21
"180",0.024,0,0.012,0.004,0.96
"181",0,0,0,0,1
"182",0.26,0,0,0,0.74
"183",0.976,0,0,0.024,0
"184",0.06,0,0.002,0.216,0.722
"185",0.426,0,0,0.574,0
"186",0.354,0,0,0.646,0
"187",0,0,0,0,1
"188",0.956,0,0,0.044,0
"189",0.998,0,0,0,0.002
"190",1,0,0,0,0
"191",0.282,0,0,0.718,0
"192",0.426,0,0,0.574,0
"193",0.186,0,0.092,0.096,0.626
"194",0.916,0,0,0,0.084
"195",1,0,0,0,0
"196",0.996,0,0,0,0.004
"197",0.976,0,0,0.024,0
"198",0.97,0,0,0.03,0
"199",0.418,0,0,0.582,0
"200",0.956,0,0,0.04,0.004
"201",0,0.018,0,0,0.982
"202",0.766,0,0,0.07,0.164
"203",0.922,0,0,0.062,0.016
"204",0.892,0,0,0.002,0.106
"205",0.066,0,0,0.59,0.344
"206",0.768,0,0,0.006,0.226
"207",0.966,0,0,0.034,0
"208",0.024,0,0.002,0.62,0.354
"209",0.86,0,0,0.136,0.004
"210",0.876,0,0,0.124,0
"211",0.02,0.004,0.154,0,0.822
"212",0.156,0,0,0.844,0
"213",0.216,0,0,0.784,0
"214",0.794,0,0,0,0.206
"215",0,0,0,0,1
"216",0.552,0,0,0.064,0.384
"217",0.892,0,0,0,0.108
"218",0.622,0,0.088,0.026,0.264
"219",0.97,0,0,0.03,0
"220",0.192,0,0,0.808,0
"221",0.062,0,0,0.248,0.69
"222",0.032,0,0,0,0.968
"223",0.098,0,0,0,0.902
"224",0.978,0,0,0.022,0
"225",0.048,0,0.21,0.706,0.036
"226",0.962,0,0,0.038,0
"227",0.014,0,0.008,0,0.978
"228",0.002,0,0,0,0.998
"229",0.908,0,0,0.092,0
"230",0.016,0,0,0,0.984
"231",0.996,0,0,0,0.004
"232",0.984,0,0,0.002,0.014
"233",0,0,0,0,1
"234",0.018,0,0.002,0.4,0.58
"235",0.184,0,0,0.816,0
"236",0.996,0,0,0,0.004
"237",0.306,0,0,0.694,0
"238",0.056,0,0.004,0,0.94
"239",0.978,0,0,0.022,0
"240",0.912,0,0,0.002,0.086
"241",0.964,0,0,0,0.036
"242",0.228,0,0,0.772,0
"243",0.934,0,0,0,0.066
"244",0.848,0,0,0.02,0.132
"245",0.912,0,0,0.088,0
"246",0.17,0,0,0.828,0.002
"247",0.76,0,0,0,0.24
"248",0.788,0,0,0,0.212
"249",0.188,0,0,0.812,0
"250",0.952,0,0,0,0.048
"251",0.002,0,0,0.068,0.93
"252",0.254,0,0,0.746,0
"253",0,0,0,0,1
"254",0.184,0,0,0.816,0
"255",0,0,0,0,1
"256",0.942,0,0,0.056,0.002
"257",0.532,0.002,0.046,0.068,0.352
"258",0.892,0,0,0,0.108
"259",0.172,0,0,0.818,0.01
"260",0.938,0,0,0,0.062
"261",1,0,0,0,0
"262",0.976,0,0,0.024,0
"263",0.984,0,0,0,0.016
"264",0.88,0,0,0.12,0
"265",0.266,0,0,0.734,0
"266",0.734,0,0,0.084,0.182
"267",0.04,0,0.006,0,0.954
"268",0,0,0,0,1
"269",0,0.002,0.036,0,0.962
"270",0.964,0,0,0,0.036
"271",0.004,0,0,0,0.996
"272",0.102,0,0.022,0.002,0.874
"273",0.052,0,0,0.616,0.332
"274",0.306,0,0.14,0.078,0.476
"275",0.07,0,0.14,0.004,0.786
"276",0,0,0,0,1
"277",0,0,0,0,1
"278",0.052,0,0.004,0.004,0.94
"279",0.646,0,0,0.002,0.352
"280",0.036,0,0,0.008,0.956
"281",0.492,0,0,0.508,0
"282",0.258,0,0,0.73,0.012
"283",0.028,0,0,0,0.972
"284",0.996,0,0,0,0.004
"285",0.184,0,0,0.816,0
"286",0.892,0,0,0.108,0
"287",0.026,0,0.122,0,0.852
"288",0,0.002,0,0,0.998
"289",0.978,0,0,0.022,0
"290",0.216,0,0,0.784,0
"291",0.854,0,0,0,0.146
"292",0.996,0,0,0,0.004
"293",0.94,0,0,0,0.06
"294",0.056,0,0.03,0.164,0.75
"295",0.164,0,0,0.836,0
"296",0.028,0,0,0,0.972
"297",0.876,0,0,0.124,0
"298",0.032,0.05,0.13,0.038,0.75
"299",0.964,0,0,0.036,0
"300",0.63,0,0,0.03,0.34
"301",0.892,0,0,0.108,0
"302",0.996,0,0,0,0.004
"303",0.996,0,0,0,0.004
"304",0.958,0,0,0.042,0
"305",0.03,0.002,0.572,0.022,0.374
"306",0.16,0,0.016,0.824,0
"307",0.996,0,0,0,0.004
"308",0.648,0,0,0,0.352
"309",0.994,0,0,0,0.006
"310",0.03,0.018,0,0,0.952
"311",0.734,0,0,0.084,0.182
"312",0.94,0,0,0,0.06
"313",0.004,0,0,0,0.996
"314",0.418,0,0,0.582,0
"315",0.036,0,0,0,0.964
"316",0.27,0,0,0.726,0.004
"317",0.242,0,0,0.758,0
"318",0.866,0,0,0,0.134
"319",0,0,0,0,1
"320",0.912,0,0,0.088,0
"321",0.538,0,0,0.036,0.426
"322",0,0,0,0,1
"323",0,0,0,0,1
"324",0.952,0,0,0,0.048
"325",0.996,0,0,0,0.004
"326",0.996,0,0,0,0.004
"327",1,0,0,0,0
"328",0.306,0,0,0.694,0
"329",0.958,0,0,0.026,0.016
"330",0.064,0,0,0.104,0.832
"331",0.264,0,0.01,0.716,0.01
"332",0.006,0,0,0,0.994
"333",0.996,0,0,0,0.004
"334",0.966,0,0,0,0.034
"335",0.026,0,0.006,0,0.968
"336",0.996,0,0,0,0.004
"337",0.002,0,0.444,0.004,0.55
"338",0.856,0,0,0.104,0.04
"339",0.036,0,0.028,0.002,0.934
"340",0.964,0,0,0.036,0
"341",0.208,0.002,0.064,0.068,0.658
"342",0.996,0,0,0,0.004
"343",0.032,0,0.604,0.048,0.316
"344",0.838,0,0,0.1,0.062
"345",0.732,0,0,0,0.268
"346",0.894,0,0,0.106,0
"347",0.146,0,0.006,0.832,0.016
"348",0.06,0,0,0,0.94
"349",0.15,0,0,0.85,0
"350",0.908,0,0,0.092,0
"351",1,0,0,0,0
"352",0,0,0,0,1
"353",0.164,0,0,0.836,0
"354",0.996,0,0,0,0.004
"355",0.976,0,0,0.024,0
"356",0.012,0,0.038,0,0.95
"357",0.926,0,0,0,0.074
"358",0.836,0,0,0,0.164
"359",0.128,0,0,0,0.872
"360",0.836,0,0,0,0.164
"361",0.946,0,0,0,0.054
"362",0.08,0.014,0,0.346,0.56
"363",0.222,0,0,0.77,0.008
"364",0.952,0,0,0,0.048
"365",0.892,0,0,0,0.108
"366",0.006,0.004,0.676,0.006,0.308
"367",0.886,0,0,0,0.114
"368",0.024,0,0.628,0.036,0.312
"369",0,0,0,0,1
"370",0.882,0,0,0,0.118
"371",0.978,0,0,0.022,0
"372",0.916,0,0,0,0.084
"373",0.996,0,0,0,0.004
"374",0.172,0,0.002,0.806,0.02
"375",0,0,0.002,0,0.998
"376",0.214,0,0,0.786,0
"377",0.974,0,0,0.026,0
"378",0.978,0,0,0.022,0
"379",0.976,0,0,0.024,0
"380",0.186,0.014,0,0,0.8
"381",0.938,0,0,0,0.062
"382",0,0,0,0,1
"383",0,0,0,0,1
"384",0,0,0,0,1
"385",0.314,0,0.002,0.68,0.004
"386",0.17,0,0,0.828,0.002
"387",0,0,0,0,1
"388",0.844,0,0.002,0.04,0.114
"389",0.996,0,0,0,0.004
"390",0.996,0,0,0,0.004
"391",0.04,0,0.136,0.64,0.184
"392",0,0,0,0,1
"393",0.996,0,0,0,0.004
"394",0.014,0,0,0,0.986
"395",0.892,0,0,0.108,0
"396",0.156,0,0.008,0.828,0.008
"397",0.056,0.002,0.056,0.674,0.212
"398",0.524,0,0,0,0.476
"399",0.99,0,0,0.006,0.004
"400",1,0,0,0,0
"401",0.934,0,0,0,0.066
"402",0.982,0,0,0.014,0.004
"403",0.976,0,0,0.024,0
"404",0,0,0,0,1
"405",0.582,0,0,0,0.418
"406",0.212,0,0,0.788,0
"407",0.994,0,0,0,0.006
"408",0.198,0,0,0.802,0
"409",1,0,0,0,0
"410",0,0,0,0,1
"411",0.054,0,0,0.336,0.61
"412",0.996,0,0,0,0.004
"413",0.966,0,0,0.034,0
"414",0.996,0,0,0,0.004
"415",0.224,0,0,0.766,0.01
"416",0.996,0,0,0,0.004
"417",0.492,0,0,0.508,0
"418",0.876,0,0,0.124,0
"419",0.994,0,0,0,0.006
"420",0.91,0,0,0,0.09
"421",1,0,0,0,0
"422",0,0,0,0,1
"423",0,0.006,0,0,0.994
"424",0.996,0,0,0,0.004
"425",0.866,0,0,0,0.134
"426",0.002,0,0,0.004,0.994
"427",0.892,0,0,0,0.108
"428",0,0,0,0,1
"429",0.09,0,0,0.004,0.906
"430",0,0,0,0,1
"431",0.896,0.002,0,0,0.102
"432",0.418,0,0,0.582,0
"433",0.966,0,0,0.034,0
"434",0.214,0,0,0.786,0
"435",0,0,0,0,1
"436",0,0,0,0,1
"437",0.936,0,0,0,0.064
"438",0.962,0,0,0.038,0
"439",0,0,0,0,1
"440",0.95,0,0,0.002,0.048
"441",0.034,0,0,0.06,0.906
"442",0.936,0,0,0.048,0.016
"443",0.922,0,0,0.002,0.076
"444",0.216,0,0,0.784,0
"445",0.898,0,0,0.102,0
"446",0.97,0,0,0.03,0
"447",0.78,0.01,0,0.042,0.168
"448",0.056,0,0,0,0.944
"449",0.314,0,0,0,0.686
"450",0.078,0,0,0.002,0.92
"451",0,0,0,0,1
"452",0.78,0,0.032,0.094,0.094
"453",0.966,0,0,0.034,0
"454",0,0,0.01,0,0.99
"455",0.892,0,0,0.108,0
"456",0.956,0,0,0.044,0
"457",0.932,0,0,0,0.068
"458",0.066,0,0,0.202,0.732
"459",0.968,0,0,0.004,0.028
"460",0,0,0,0,1
"461",0.968,0,0,0.032,0
"462",0.252,0,0,0.748,0
"463",0,0,0,0,1
"464",0.054,0,0,0.78,0.166
"465",0.908,0,0,0.092,0
"466",0.98,0,0,0.02,0
"467",0.03,0.002,0.238,0.048,0.682
"468",0.87,0,0,0.058,0.072
"469",0.788,0,0,0.002,0.21
"470",0.864,0,0,0.008,0.128
"471",0.004,0,0.004,0,0.992
"472",0.006,0,0.486,0.058,0.45
"473",0.958,0,0,0.002,0.04
"474",0.962,0,0,0.038,0
"475",0.97,0,0,0.03,0
"476",0.582,0,0,0.01,0.408
"477",0,0,0,0,1
"478",0.306,0,0,0.694,0
"479",0.004,0,0,0,0.996
"480",0.952,0,0,0,0.048
"481",0.062,0,0,0.792,0.146
"482",0.08,0,0.034,0.254,0.632
"483",0.15,0,0,0.85,0
"484",0.014,0,0,0,0.986
"485",0.73,0.006,0,0.06,0.204
"486",0.018,0,0.002,0.82,0.16
"487",0.992,0,0,0,0.008
"488",0.902,0,0,0.086,0.012
"489",0.058,0,0,0,0.942
"490",0,0,0,0,1
"491",0,0,0,0,1
"492",0.062,0,0,0.248,0.69
"493",0.212,0,0,0.788,0
"494",0.898,0,0,0.102,0
"495",0.134,0,0.002,0.002,0.862
"496",0.866,0,0,0,0.134
"497",0.552,0,0,0.004,0.444
"498",0.976,0,0,0.024,0
"499",0.994,0,0,0,0.006
"500",0.25,0,0,0.75,0
"501",0.912,0,0,0,0.088
"502",0.24,0,0,0.76,0
"503",0.106,0,0,0,0.894
"504",0.996,0,0,0,0.004
"505",0.426,0,0,0.574,0
"506",0.216,0,0,0.784,0
"507",0.066,0,0,0.202,0.732
"508",0.956,0,0,0.044,0
"509",0.492,0,0,0.508,0
"510",0.996,0,0,0,0.004
"511",0.946,0,0,0.014,0.04
"512",0.184,0,0,0.816,0
"513",0.976,0,0,0.024,0
"514",0.094,0,0.004,0,0.902
"515",0.184,0,0,0.814,0.002
"516",0.766,0,0,0.07,0.164
"517",0.044,0,0,0.006,0.95
"518",0.706,0,0,0.052,0.242
"519",0,0,0,0,1
"520",0,0,0,0,1
"521",0.966,0,0,0.034,0
"522",0.646,0,0,0.002,0.352
"523",0.968,0,0,0,0.032
"524",0.86,0,0,0.03,0.11
"525",0.994,0,0,0,0.006
"526",0.172,0,0,0.818,0.01
"527",0.984,0,0,0.016,0
"528",0.192,0,0,0.808,0
"529",0,0,0,0,1
"530",0.996,0,0,0,0.004
"531",0,0,0,0,1
"532",0.958,0,0,0.042,0
"533",0.94,0,0,0,0.06
"534",0.884,0,0,0.012,0.104
"535",0.004,0,0,0,0.996
"536",0.968,0,0,0,0.032
"537",0.966,0,0,0.034,0
"538",0.892,0,0,0,0.108
"539",0.19,0,0,0.808,0.002
"540",0.032,0,0.016,0.552,0.4
"541",0.028,0,0.004,0.006,0.962
"542",0,0,0,0,1
"543",0.996,0,0,0,0.004
"544",0,0,0.03,0,0.97
"545",0.028,0.002,0.04,0,0.93
"546",0.978,0,0,0.022,0
"547",0,0,0.002,0,0.998
"548",0.98,0,0,0.02,0
"549",0.036,0,0.546,0.04,0.378
"550",0,0,0,0,1
"551",0.984,0,0,0.012,0.004
"552",0.976,0,0,0.024,0
"553",0.978,0,0,0.022,0
"554",0.996,0,0,0,0.004
"555",0,0,0,0,1
"556",0.044,0,0,0.006,0.95
"557",0.02,0,0.006,0.9,0.074
"558",1,0,0,0,0
"559",0.966,0,0,0,0.034
"560",0.258,0,0,0.742,0
"561",0.898,0,0,0.102,0
"562",0.138,0,0.01,0.848,0.004
"563",0.02,0,0.03,0.37,0.58
"564",0.98,0,0,0.02,0
"565",0,0,0,0,1
"566",0.936,0,0,0.04,0.024
"567",0.002,0,0,0.004,0.994
"568",0.876,0.002,0,0.04,0.082
"569",0.254,0,0,0.746,0
"570",1,0,0,0,0
"571",0.956,0,0,0.038,0.006
"572",0.212,0,0,0.788,0
"573",0.066,0,0,0.12,0.814
"574",0,0,0,0,1
"575",0.996,0,0,0,0.004
"576",0.994,0,0,0,0.006
"577",0.208,0,0,0.792,0
"578",0.996,0,0,0,0.004
"579",0,0,0,0,1
"580",0.966,0,0,0.034,0
"581",0.164,0,0,0.832,0.004
"582",0,0,0,0,1
"583",0.212,0,0,0.788,0
"584",0.838,0,0,0.004,0.158
"585",0.768,0,0,0.006,0.226
"586",0.06,0,0,0,0.94
"587",0.91,0,0,0,0.09
"588",0.032,0,0.15,0.002,0.816
"589",0.476,0,0,0.016,0.508
"590",1,0,0,0,0
"591",0.772,0,0,0.198,0.03
"592",0.192,0,0,0.808,0
"593",0,0,0,0,1
"594",0.164,0,0.004,0.826,0.006
"595",0.878,0,0,0,0.122
"596",0.152,0,0,0.846,0.002
"597",0.902,0,0.018,0.048,0.032
"598",0.492,0,0,0.508,0
"599",1,0,0,0,0
"600",0.068,0,0,0,0.932
"601",0,0,0,0,1
"602",0.984,0,0,0.016,0
"603",0.836,0,0.002,0.074,0.088
"604",0.02,0,0.066,0.858,0.056
"605",0,0,0,0,1
"606",0,0,0,0,1
"607",0.67,0,0,0.004,0.326
"608",0.096,0,0.088,0.004,0.812
"609",0,0,0,0,1
"610",0.088,0,0.004,0.208,0.7
"611",1,0,0,0,0
"612",0.848,0,0,0.02,0.132
"613",0.976,0,0,0.004,0.02
"614",0.768,0,0,0.048,0.184
"615",0.994,0,0,0,0.006
"616",0.282,0,0,0.718,0
"617",0.882,0,0.004,0.036,0.078
"618",0.876,0,0,0.124,0
"619",0.996,0,0,0,0.004
"620",0.996,0,0,0,0.004
"621",0.04,0,0,0,0.96
"622",0.682,0,0,0.048,0.27
"623",0.116,0.002,0.02,0.002,0.86
"624",0.238,0,0,0.762,0
"625",0.908,0,0,0.092,0
"626",0.108,0,0,0.004,0.888
"627",0.72,0,0,0.092,0.188
"628",0.068,0.004,0.128,0,0.8
"629",0.892,0,0,0.108,0
"630",0,0,0,0,1
"631",0.256,0,0,0.742,0.002
"632",1,0,0,0,0
"633",0.992,0,0,0,0.008
"634",0.936,0,0,0,0.064
"635",0,0,0,0,1
"636",0.738,0.006,0,0,0.256
"637",0.996,0,0,0,0.004
"638",0.978,0,0,0.022,0
"639",0,0,0,0,1
"640",0.996,0,0,0,0.004
"641",0.004,0,0,0,0.996
"642",0.056,0,0,0,0.944
"643",0.004,0,0,0,0.996
"644",0.826,0,0,0.172,0.002
"645",0.98,0,0,0.002,0.018
"646",0.514,0,0,0.486,0
"647",0.514,0,0,0.486,0
"648",0,0,0,0,1
"649",0.034,0,0,0.014,0.952
"650",0,0,0,0,1
"651",0,0,0,0,1
"652",0.97,0,0,0.03,0
"653",0.186,0,0.008,0.806,0
"654",0.874,0,0,0.006,0.12
"655",0.996,0,0,0,0.004
"656",0.086,0,0.002,0.096,0.816
"657",0.05,0,0,0,0.95
"658",0.98,0,0,0.02,0
"659",0.996,0,0,0,0.004
"660",0.514,0,0,0.486,0
"661",0,0,0,0,1
"662",0.884,0,0,0.012,0.104
"663",0.97,0,0,0.03,0
"664",0.172,0,0,0.826,0.002
"665",0.964,0,0,0.028,0.008
"666",1,0,0,0,0
"667",0.832,0.002,0.022,0.104,0.04
"668",0.974,0,0,0.026,0
"669",0.878,0,0,0.122,0
"670",0.936,0,0,0.062,0.002
"671",0.11,0,0,0,0.89
"672",0.806,0,0,0.034,0.16
"673",0,0,0,0,1
"674",0.894,0,0,0.106,0
"675",0.892,0,0,0.058,0.05
"676",0.004,0,0,0,0.996
"677",0.016,0,0.018,0,0.966
"678",0.426,0,0.028,0.074,0.472
"679",0.082,0,0,0.028,0.89
"680",0.876,0,0,0.124,0
"681",0.072,0,0,0.006,0.922
"682",0.216,0,0,0.784,0
"683",0.942,0.002,0,0,0.056
"684",0.97,0,0,0,0.03
"685",0.244,0,0,0.756,0
"686",0.956,0,0,0.044,0
"687",0,0,0,0,1
"688",1,0,0,0,0
"689",0.69,0,0,0.072,0.238
"690",0.936,0,0,0,0.064
"691",0.89,0,0,0.098,0.012
"692",0.938,0,0.004,0.024,0.034
"693",0.394,0,0,0.606,0
"694",0.216,0,0,0.784,0
"695",0.734,0,0.066,0.13,0.07
"696",0,0,0.012,0,0.988
"697",0.24,0,0,0.76,0
"698",0,0,0,0,1
"699",0.082,0,0,0.028,0.89
"700",0.02,0,0.008,0.46,0.512
"701",0.074,0,0.07,0.008,0.848
"702",0.994,0,0,0,0.006
"703",0.072,0,0,0,0.928
"704",0.738,0.006,0,0,0.256
"705",0.762,0,0,0.004,0.234
"706",0.986,0,0,0.004,0.01
"707",0.814,0,0.054,0.106,0.026
"708",0.072,0,0,0.06,0.868
"709",0.966,0,0,0.034,0
"710",0.966,0,0,0.034,0
"711",0.958,0,0,0.042,0
"712",0.936,0,0,0,0.064
"713",0,0,0,0,1
"714",0.778,0,0,0.134,0.088
"715",0.788,0,0,0.002,0.21
"716",0.966,0,0,0.034,0
"717",0.996,0,0,0,0.004
"718",0,0,0,0,1
"719",0.148,0,0,0.85,0.002
"720",0.972,0,0,0,0.028
"721",0.994,0,0,0,0.006
"722",0.996,0,0,0,0.004
"723",0.996,0,0,0,0.004
"724",0.768,0,0,0.066,0.166
"725",0.996,0,0,0,0.004
"726",0.958,0,0,0.042,0
"727",0.228,0,0,0.772,0
"728",0.186,0,0,0.774,0.04
"729",0.996,0,0,0,0.004
"730",0.996,0,0,0,0.004
"731",0.016,0,0,0,0.984
"732",0.162,0,0,0.838,0
"733",0.01,0,0,0,0.99
"734",0.88,0,0,0.12,0
"735",0.052,0,0,0.124,0.824
"736",0.996,0,0,0,0.004
"737",0.02,0,0.006,0.622,0.352
"738",0.05,0,0,0,0.95
"739",0,0,0,0,1
"740",0.99,0,0,0,0.01
"741",0.286,0,0.124,0.138,0.452
"742",0.924,0,0.002,0.05,0.024
"743",0.906,0,0,0,0.094
"744",0.128,0,0,0,0.872
"745",1,0,0,0,0
"746",0.058,0,0,0,0.942
"747",0.98,0,0,0.014,0.006
"748",0.85,0.004,0.046,0.088,0.012
"749",0.978,0,0,0.022,0
"750",0.006,0,0.002,0,0.992
"751",0.216,0,0,0.784,0
"752",0,0,0,0,1
"753",0.08,0,0.022,0.088,0.81
"754",1,0,0,0,0
"755",0.962,0,0,0.038,0
"756",0.94,0,0,0.054,0.006
"757",0.024,0,0.008,0.672,0.296
"758",0.042,0,0.034,0.868,0.056
"759",0.88,0,0,0.12,0
"760",0.996,0,0,0,0.004
"761",0.648,0,0,0,0.352
"762",0.854,0,0,0,0.146
"763",0,0,0.002,0,0.998
"764",0,0,0,0,1
"765",0,0,0,0,1
"766",0.996,0,0,0,0.004
"767",0,0,0,0,1
"768",0.912,0,0,0.088,0
"769",0,0,0,0,1
"770",0,0,0,0,1
"771",0.996,0,0,0,0.004
"772",0,0,0,0,1
"773",0.302,0,0,0.698,0
"774",0.976,0,0,0.024,0
"775",0,0,0,0,1
"776",1,0,0,0,0
"777",0.064,0,0,0.626,0.31
"778",0.236,0,0,0.756,0.008
"779",0.492,0,0,0.508,0
"780",0.058,0,0,0,0.942
"781",0.298,0,0,0.7,0.002
"782",0.242,0,0,0.758,0
"783",0.734,0,0,0.084,0.182
"784",0.878,0,0,0.122,0
"785",0.048,0,0.002,0,0.95
"786",1,0,0,0,0
"787",0.064,0,0,0.104,0.832
"788",0.15,0,0,0.85,0
"789",0.212,0,0,0.788,0
"790",0.978,0,0,0.022,0
"791",0.866,0,0,0,0.134
"792",0.064,0,0.002,0.032,0.902
"793",0.998,0,0,0,0.002
"794",0.252,0,0,0.748,0
"795",0.216,0,0,0.784,0
"796",0.084,0,0.002,0.15,0.764
"797",0.956,0,0,0.044,0
"798",0.876,0,0,0.124,0
"799",0.766,0,0,0.07,0.164
"800",0.892,0,0,0.108,0
"801",1,0,0,0,0
"802",0.19,0,0,0.808,0.002
